voucher_number,voucher_date,voucher_ref, voucher_amt ,voucher_type_id,vendor_number,payment_type_id,payment_ref,payment_source_id
188,6/12/22 14:55 CDT,300251750 Oak St, 3.00 ,2,9999,6,U of M parking,22301
189,6/15/2022 14:54:17 CDT,RA1094000305506, 72.30 ,2,1004,6,Kwik Trip,22301
190,6/15/2022 15:54:17 CDT,, 1.41 ,2,1004,4,,19998
191,6/15/22 15:05 CDT,.D822111, 32.21 ,2,2009,6,Ace Hardware,22301
192,6/15/2022 15:38:23 CDT,05654, 87.57 ,2,2000,6,,22301
193,6/16/22 12:45 CDT,0178, 26.20 ,2,1002,4,,19998
194,6/16/22 16:31:35 CDT,02510333, 38.89 ,2,9997,6,Cenex Baldwin WI,22301
195,6/17/22 16:21 EDT,1-1542, 15.89 ,2,9999,4,Olde Swing Br Roasters,19998
196,6/17/22 19:00 EDT,, 12.00 ,2,9999,4,Dessert,19998
197,6/19/22 12:24:13 EDT,, 13.66 ,2,9999,6,Pats Ontonagon,22301
198,6/16/22 16:31:35 CDT,, 6.87 ,2,9999,4,Kwik Trip Hayard,19998
199,6/19/22 14:58 CDT,PORCMI22-773010, 36.00 ,2,9999,4,MI State Park Pass,19998
200,6/21/22 10:59:36 CDT,06234, 202.04 ,2,2000,6,Tires,22008
201,6/21/22 16:00:40 CDT,150200, 20.92 ,2,1001,8,,13031
202,6/21/22 16:11 CDT,0123, 12.28 ,2,1002,6,,22008
203,6/20/22 11:29 EDT,5588, 100.00 ,2,9996,4,Syls Ontonagon,19998
204,6/20/22 14:22:45 CDT,4354, 11.17 ,2,9997,2,Catawba Farm,22301
205,6/20/22 12:13:46 EDT,1017855, 65.49 ,2,9997,2,Settler Coop,22301
206,2/20/22 16:59:00 EDT,, 69.59 ,2,9997,2,Wisc,22301
207,2/21/2022  19:24:46 CDT,04074, 34.29 ,2,2000,2,,22008
